,Value,Feature
634,0.0,f21 f39
635,0.0,f21 f41
636,0.0,f21 f42
637,0.0,f21 f43
638,0.0,f21 f45
639,0.0,f21 f46
640,0.0,f21 f47
641,0.0,f21 f48
642,0.0,f21 f51
643,0.0,f21 f52
644,0.0,f21 f53
645,0.0,f21 f59
646,0.0,f21 f60
647,0.0,f21 f61
648,0.0,f21 f63
649,0.0,f21 f64
650,0.0,f21 f65
651,0.0,f21 f66
652,0.0,f21 f68
653,0.0,f21 f70
654,0.0,f21 f73
655,0.0,f21 f74
656,0.0,f21 f76
657,0.0,f21 f77
658,0.0,f21 f78
659,0.0,f21 f79
660,0.0,f21 f83
661,0.0,f21 f85
662,0.0,f21 f86
663,0.0,f21 f87
664,0.0,f21 f89
665,0.0,f21 f92
666,0.0,f21 f93
667,0.0,f21 f95
668,0.0,f21 f99
669,0.0,f21^2
670,0.0,f22 f23
671,0.0,f22 f27
672,0.0,f22 f31
673,0.0,f22 f33
674,0.0,f22 f34
675,0.0,f22 f35
676,0.0,f22 f36
677,0.0,f22 f37
678,0.0,f22 f40
679,0.0,f22 f41
680,0.0,f22 f42
681,0.0,f22 f43
682,0.0,f22 f45
683,0.0,f22 f46
684,0.0,f22 f47
685,0.0,f22 f51
686,0.0,f22 f52
687,0.0,f22 f53
688,0.0,f22 f54
689,0.0,f22 f56
690,0.0,f22 f60
691,0.0,f22 f61
692,0.0,f22 f62
693,0.0,f22 f63
694,0.0,f22 f64
695,0.0,f22 f66
696,0.0,f22 f73
697,0.0,f22 f78
698,0.0,f22 f79
699,0.0,f22 f80
700,0.0,f22 f81
701,0.0,f22 f82
702,0.0,f22 f84
703,0.0,f22 f85
704,0.0,f22 f87
705,0.0,f22 f89
706,0.0,f22 f93
707,0.0,f22 f96
708,0.0,f22 f97
709,0.0,f22 f98
710,0.0,f23 f24
711,0.0,f23 f30
712,0.0,f23 f32
713,0.0,f23 f34
714,0.0,f23 f38
715,0.0,f23 f39
716,0.0,f23 f40
717,0.0,f23 f42
718,0.0,f23 f46
719,0.0,f23 f47
720,0.0,f23 f49
721,0.0,f23 f50
722,0.0,f23 f51
723,0.0,f23 f52
724,0.0,f23 f53
725,0.0,f23 f55
726,0.0,f23 f56
727,0.0,f23 f57
728,0.0,f23 f58
729,0.0,f23 f59
730,0.0,f23 f62
731,0.0,f23 f64
732,0.0,f23 f65
733,0.0,f23 f67
734,0.0,f23 f68
735,0.0,f23 f71
736,0.0,f23 f72
